,instance,max_time,postprocessing,version,num_reads,num_feasible,num_optimal,number_of_jobs,number_of_tasks,is_squashed,max_task_time,mean_task_time,heuristic,optimal,energy_best,result_best,chain_strength,chain_break_method,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,is_cut_out,window_size,window_start
69,,6,False,pyqubo,1000,0,0,6,9,,3,1.7777777777777777,True,0,2.29832807758672,,1.5123451485969888,majority_vote,238940.0,20.0,198.4,249819.7,2540.3,10879.7,20.54,1112.0,1112.0,1.0,8.0,2.0
70,,9,False,pyqubo,1000,309,0,6,9,,3,1.7777777777777777,True,0,0.0526144787998745,7.0,1.9777053433208904,majority_vote,243440.0,20.0,202.9,254396.1,5166.9,10956.1,20.54,1725.0,1725.0,1.0,8.0,9.0
71,,9,False,pyqubo,1000,298,0,5,8,,3,1.875,True,0,0.0293281321444904,6.0,1.9235027153810915,majority_vote,244440.0,20.0,203.9,255423.1,3746.9,10983.1,20.54,1305.0,1305.0,1.0,8.0,15.0
72,,9,False,pyqubo,1000,407,0,4,7,,3,1.8571428571428568,True,0,0.0961536,7.0,1.8782981627984665,majority_vote,243740.0,20.0,203.2,254712.1,3188.9,10972.1,20.54,1077.0,1077.0,1.0,8.0,4.0
73,,6,False,pyqubo,1000,0,0,3,6,,3,1.8333333333333333,True,0,2.5078125,,1.3058970772884777,majority_vote,240740.0,20.0,200.2,251512.3,1637.7,10772.3,20.54,2207.0,2207.0,1.0,8.0,16.0
74,,6,False,pyqubo,1000,0,0,3,6,,3,1.8333333333333333,True,0,2.5078125,,1.3058970772884777,majority_vote,238940.0,20.0,198.4,249764.5,1693.5,10824.5,20.54,341.0,341.0,1.0,8.0,7.0
75,,9,False,pyqubo,1000,200,0,3,6,,3,1.8333333333333333,True,0,0.15673828125,7.0,1.8800655573676144,majority_vote,238940.0,20.0,198.4,249955.1,3298.9,11015.1,20.54,1686.0,1686.0,1.0,8.0,3.0
76,,9,False,pyqubo,1000,185,0,3,6,,3,1.8333333333333333,True,0,0.15673828125,7.0,1.8800655573676144,majority_vote,243100.0,20.0,202.56,254093.7,3091.3,10993.7,20.54,1145.0,1145.0,1.0,8.0,14.0
77,,6,False,pyqubo,1000,0,0,3,6,,3,1.8333333333333333,True,0,2.5078125,,1.3058970772884777,majority_vote,238940.0,20.0,198.4,249698.5,1965.5,10758.5,20.54,592.0,592.0,1.0,8.0,6.0
78,,6,False,pyqubo,1000,0,0,3,6,,3,1.8333333333333333,True,0,2.5078125,,1.3058970772884777,majority_vote,238940.0,20.0,198.4,249700.5,1956.5,10760.5,20.54,710.0,710.0,1.0,8.0,0.0
79,,6,False,pyqubo,1000,0,0,3,6,,3,1.8333333333333333,True,0,2.5078125,,1.3058970772884777,majority_vote,244420.0,20.0,203.88,255213.7,1750.3,10793.7,20.54,565.0,565.0,1.0,8.0,13.0
80,,6,False,pyqubo,1000,0,0,3,6,,3,1.8333333333333333,True,0,2.5078125,,1.3058970772884777,majority_vote,238940.0,20.0,198.4,249749.7,1682.3,10809.7,20.54,761.0,761.0,1.0,8.0,8.0
81,,6,False,pyqubo,1000,0,0,3,6,,3,1.8333333333333333,True,0,2.5078125,,1.3058970772884777,majority_vote,238940.0,20.0,198.4,249747.7,2080.3,10807.7,20.54,681.0,681.0,1.0,8.0,10.0
82,,6,False,pyqubo,1000,0,0,3,6,,3,1.8333333333333333,True,0,2.5078125,,1.3058970772884777,majority_vote,238940.0,20.0,198.4,249707.1,1808.9,10767.1,20.54,1030.0,1030.0,1.0,8.0,12.0
83,,6,False,pyqubo,1000,0,0,3,6,,3,1.8333333333333333,True,0,2.5078125,,1.3058970772884777,majority_vote,244380.0,20.0,203.84,255167.3,1401.7,10787.3,20.54,541.0,541.0,1.0,8.0,5.0
84,,10,False,pyqubo,1000,0,0,5,19,,2,1.3157894736842106,True,0,3.722479423868311,,2.067240622857628,majority_vote,244440.0,20.0,203.9,255616.1,7837.9,11176.1,20.54,864.0,5150.0,1.0,8.0,3.0
85,,9,False,pyqubo,1000,0,0,5,17,,2,1.2941176470588236,True,0,3.3889746227709185,,1.974259087308508,majority_vote,244440.0,20.0,203.9,255581.5,7035.5,11141.5,20.54,1101.0,3478.0,1.0,8.0,4.0
86,,10,False,pyqubo,1000,0,0,5,17,,2,1.2941176470588236,True,0,4.390689300411523,,2.1204388146482005,majority_vote,244440.0,20.0,203.9,255643.7,8998.3,11203.7,20.54,1589.0,4182.0,1.0,8.0,6.0
87,,11,False,pyqubo,1000,0,0,5,17,,2,1.2941176470588236,True,0,2.453710848193872,,2.250585820032938,majority_vote,244440.0,20.0,203.9,255653.3,8833.7,11213.3,20.54,1712.0,4330.0,1.0,8.0,0.0
88,,8,False,pyqubo,1000,0,0,5,17,,2,1.2941176470588236,True,0,3.389146090534979,,1.8034660167608123,majority_vote,244060.0,20.0,203.52,255186.1,5247.9,11126.1,20.54,779.0,2168.0,1.0,8.0,2.0
89,,10,False,pyqubo,1000,0,0,5,17,,2,1.2941176470588236,True,0,3.3441429469593054,,2.1204388146482005,majority_vote,244440.0,20.0,203.9,255681.9,8628.1,11241.9,20.54,1185.0,4546.0,1.0,8.0,3.0
90,,9,False,pyqubo,1000,0,0,5,17,,2,1.2941176470588236,True,0,2.1203703703703702,,1.974259087308508,majority_vote,244440.0,20.0,203.9,255580.9,6955.1,11140.9,20.54,1098.0,2632.0,1.0,8.0,7.0
91,,10,False,pyqubo,1000,0,0,5,17,,2,1.2941176470588236,True,0,2.408950617283951,,2.1204388146482005,majority_vote,244440.0,20.0,203.9,255598.7,8002.3,11158.7,20.54,1803.0,3843.0,1.0,8.0,1.0
92,,9,False,pyqubo,1000,0,0,5,17,,2,1.2941176470588236,True,0,3.3984053497942384,,1.974259087308508,majority_vote,244440.0,20.0,203.9,255556.7,7091.3,11116.7,20.54,642.0,2592.0,1.0,8.0,5.0
93,,10,False,pyqubo,1000,0,0,5,16,,2,1.25,True,0,1.7793209876543197,,2.1106787708664734,majority_vote,244440.0,20.0,203.9,255654.1,6885.9,11214.1,20.54,678.0,2922.0,1.0,8.0,7.0
94,,10,False,pyqubo,1000,0,0,5,16,,2,1.25,True,0,2.058684842249658,,2.1106787708664734,majority_vote,244440.0,20.0,203.9,255551.5,6173.5,11111.5,20.54,3119.0,9453.0,1.0,8.0,4.0
95,,10,False,pyqubo,1000,0,0,5,16,,2,1.25,True,0,3.065336362597165,,2.1106787708664734,majority_vote,244440.0,20.0,203.9,255639.3,7718.7,11199.3,20.54,412.0,3121.0,1.0,8.0,0.0
96,,9,False,pyqubo,1000,0,0,5,16,,2,1.25,True,0,2.399734224965705,,1.9619918040298887,majority_vote,244440.0,20.0,203.9,255586.7,6731.3,11146.7,20.54,4771.0,11774.0,1.0,8.0,2.0
97,,10,False,pyqubo,1000,1,0,5,16,,2,1.25,True,0,1.055812757201645,9.0,2.1106787708664734,majority_vote,244440.0,20.0,203.9,255660.9,6454.1,11220.9,20.54,3327.0,8962.0,1.0,8.0,5.0
98,,10,False,pyqubo,1000,2,0,5,15,,2,1.2666666666666666,True,0,1.3472222222222214,9.0,2.1042707246997194,majority_vote,244440.0,20.0,203.9,255573.3,7310.7,11133.3,20.54,633.0,2653.0,1.0,8.0,3.0
99,,9,False,pyqubo,1000,0,0,5,15,,2,1.2666666666666666,True,0,1.453960905349792,,1.9583541452794824,majority_vote,244440.0,20.0,203.9,255585.7,5418.3,11145.7,20.54,698.0,2112.0,1.0,8.0,6.0
100,,9,False,pyqubo,1000,0,0,5,15,,2,1.2666666666666666,True,0,1.7793209876543197,,1.9583541452794824,majority_vote,244440.0,20.0,203.9,255520.9,4954.1,11080.9,20.54,2530.0,2530.0,1.0,8.0,1.0
101,,5,False,pyqubo,1000,2,0,3,9,,1,1.0,True,0,1.25,5.0,1.3674083217965722,majority_vote,238940.0,20.0,198.4,249849.9,3046.1,10909.9,20.54,1459.0,1459.0,1.0,6.0,0.0
102,,4,False,pyqubo,1000,2,0,3,7,,1,1.0,True,0,2.0,4.0,1.224559920951196,majority_vote,238940.0,20.0,198.4,249753.3,2515.7,10813.3,20.54,527.0,527.0,1.0,6.0,0.0
103,,7,False,pyqubo,1000,0,0,4,16,,1,1.0,True,0,1.8320000000000007,,1.6580619710975824,majority_vote,244440.0,20.0,203.9,255519.7,4350.3,11079.7,20.54,2172.0,2172.0,1.0,6.0,0.0
104,,6,False,pyqubo,1000,1,0,4,16,,1,1.0,True,0,1.5600000000000005,6.0,1.4066161375205863,majority_vote,243800.0,20.0,203.26,254808.3,2530.7,11008.3,20.54,1898.0,1898.0,1.0,6.0,1.0
105,,7,False,pyqubo,1000,16,0,4,13,,1,1.0,True,0,0.4992000000000001,6.0,1.7576207511627853,majority_vote,244420.0,20.0,203.88,255545.3,4114.7,11125.3,20.54,1309.0,1309.0,1.0,6.0,1.0
106,,5,False,pyqubo,1000,3,0,4,12,,1,1.0,True,0,1.1760000000000002,4.0,1.3198942303880887,majority_vote,238940.0,20.0,198.4,249799.3,1797.7,10859.3,20.54,441.0,441.0,1.0,6.0,0.0
107,,8,False,pyqubo,1000,30,0,5,13,,2,1.2307692307692308,True,0,0.1684670781893,6.0,1.848479980634351,majority_vote,241100.0,20.0,200.56,252254.9,4490.1,11154.9,20.54,1478.0,1478.0,1.0,6.0,0.0
108,,6,False,pyqubo,1000,0,0,5,13,,2,1.2307692307692308,True,0,1.731481481481481,,1.490053526430479,majority_vote,243420.0,20.0,202.88,254418.7,2268.3,10998.7,20.54,4458.0,4458.0,1.0,6.0,5.0
109,,6,False,pyqubo,1000,0,0,5,13,,2,1.2307692307692308,True,0,1.731481481481481,,1.490053526430479,majority_vote,242820.0,20.0,202.28,253753.1,2566.9,10933.1,20.54,953.0,953.0,1.0,6.0,6.0
110,,8,False,pyqubo,1000,39,0,5,13,,2,1.2307692307692308,True,0,0.3999485596707828,7.0,1.848479980634351,majority_vote,243740.0,20.0,203.2,254828.9,5364.1,11088.9,20.54,631.0,1738.0,1.0,6.0,7.0
111,,8,False,pyqubo,1000,23,0,5,12,,2,1.25,True,0,0.1157407407407404,6.0,1.8550655285958533,majority_vote,243460.0,20.0,202.92,254625.1,4760.9,11165.1,20.54,493.0,2095.0,1.0,6.0,9.0
112,,7,False,pyqubo,1000,131,0,5,12,,2,1.25,True,0,0.2237654320987641,5.0,1.7013465602815374,majority_vote,238940.0,20.0,198.4,250025.1,2980.9,11085.1,20.54,1037.0,1037.0,1.0,6.0,2.0
113,,8,False,pyqubo,1000,19,0,5,12,,2,1.25,True,0,0.1298868312757193,6.0,1.8550655285958533,majority_vote,243740.0,20.0,203.2,254845.5,5474.5,11105.5,20.54,435.0,1728.0,1.0,6.0,8.0
114,,6,False,pyqubo,1000,9,0,5,12,,2,1.25,True,0,1.064814814814813,5.0,1.5148469619673857,majority_vote,238940.0,20.0,198.4,249952.7,2474.3,11012.7,20.54,966.0,966.0,1.0,6.0,4.0
