,instance,max_time,postprocessing,version,num_reads,num_feasible,num_optimal,number_of_jobs,number_of_tasks,is_squashed,max_task_time,mean_task_time,heuristic,optimal,energy_best,result_best,is_cut_out,window_size,window_start,chain_break_method,chain_strength,post_processing_overhead_time,qpu_access_overhead_time,qpu_access_time,qpu_anneal_time_per_sample,qpu_delay_time_per_sample,qpu_programming_time,qpu_readout_time_per_sample,qpu_sampling_time,total_post_processing_time
123,,53,False,discrete,24,12,0,6,27,,10,5.518518518518518,True,0,5.0596983533989764e-08,44.0,True,50,6,,,,,,,,,,,
124,,30,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,8.095103146849059e-09,20.0,True,20,11,,,,,,,,,,,
125,,25,False,discrete,12,12,0,6,12,,9,4.833333333333333,True,0,0.0001360543986492,20.0,True,20,8,,,,,,,,,,,
126,,28,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,2.478113865678215e-06,21.0,True,20,23,,,,,,,,,,,
127,,28,False,discrete,24,12,0,6,11,,9,4.818181818181818,True,0,4.972700310580828e-08,19.0,True,20,20,,,,,,,,,,,
128,,28,False,discrete,15,15,0,6,11,,9,4.818181818181818,True,0,4.972700310580828e-08,19.0,True,20,9,,,,,,,,,,,
129,,32,False,discrete,15,15,0,6,11,,9,4.818181818181818,True,0,2.071095506281061e-11,19.0,True,20,3,,,,,,,,,,,
130,,22,False,discrete,24,24,0,6,11,,9,4.818181818181818,True,0,0.0058503321883952,19.0,True,20,17,,,,,,,,,,,
131,,20,False,discrete,24,12,0,6,11,,9,4.818181818181818,True,0,0.2866662772313667,19.0,True,20,26,,,,,,,,,,,
132,,33,False,discrete,15,15,0,6,11,,9,4.818181818181818,True,0,2.958707866115801e-12,19.0,True,20,37,,,,,,,,,,,
133,,20,False,discrete,27,15,0,6,11,,9,4.818181818181818,True,0,0.2866662772313667,19.0,True,20,10,,,,,,,,,,,
134,,31,False,discrete,17,17,0,6,11,,9,4.818181818181818,True,0,1.4497668543967428e-10,19.0,True,20,1,,,,,,,,,,,
135,,23,False,discrete,15,15,0,6,11,,9,4.818181818181818,True,0,0.0008357617411993,19.0,True,20,12,,,,,,,,,,,
136,,23,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,0.0008357688210444,19.0,True,20,7,,,,,,,,,,,
137,,32,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,2.071113050797169e-11,19.0,True,20,27,,,,,,,,,,,
138,,23,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,0.0008357688210444,19.0,True,20,13,,,,,,,,,,,
139,,21,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,0.0409526722311755,19.0,True,20,31,,,,,,,,,,,
140,,21,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,0.0409526722311755,19.0,True,20,3,,,,,,,,,,,
141,,33,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,2.9587329297102418e-12,19.0,True,20,14,,,,,,,,,,,
142,,32,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,2.071113050797169e-11,19.0,True,20,21,,,,,,,,,,,
143,,33,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,2.9587329297102418e-12,19.0,True,20,32,,,,,,,,,,,
144,,28,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,4.972742434964004e-08,19.0,True,20,37,,,,,,,,,,,
145,,22,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,0.0058503817473108,19.0,True,20,16,,,,,,,,,,,
146,,28,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,4.972742434964004e-08,19.0,True,20,24,,,,,,,,,,,
147,,28,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,4.972742434964004e-08,19.0,True,20,6,,,,,,,,,,,
148,,21,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,0.0409526722311755,19.0,True,20,39,,,,,,,,,,,
149,,27,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,3.480919704474803e-07,19.0,True,20,41,,,,,,,,,,,
150,,21,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,0.0409526722311755,19.0,True,20,12,,,,,,,,,,,
151,,31,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,1.4497791355580184e-10,19.0,True,20,40,,,,,,,,,,,
152,,26,False,discrete,17,17,0,6,12,,9,4.833333333333333,True,0,2.4366437931323616e-06,19.0,True,20,25,,,,,,,,,,,
153,,25,False,discrete,12,12,0,6,12,,9,4.833333333333333,True,0,1.705650655192653e-05,19.0,True,20,34,,,,,,,,,,,
154,,26,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,2.4366437931323616e-06,19.0,True,20,1,,,,,,,,,,,
155,,26,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,2.4366437931323616e-06,19.0,True,20,22,,,,,,,,,,,
156,,20,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,0.2866687056182291,19.0,True,20,38,,,,,,,,,,,
157,,30,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,1.0148453948906131e-09,19.0,True,20,33,,,,,,,,,,,
158,,23,False,discrete,12,12,0,6,12,,9,4.833333333333333,True,0,0.0008357688210444,19.0,True,20,5,,,,,,,,,,,
159,,28,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,4.972742434964004e-08,19.0,True,20,18,,,,,,,,,,,
160,,28,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,4.972742434964004e-08,19.0,True,20,2,,,,,,,,,,,
161,,21,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,0.0409526722311755,19.0,True,20,29,,,,,,,,,,,
162,,28,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,4.972742434964004e-08,19.0,True,20,11,,,,,,,,,,,
163,,30,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,1.0148453948906131e-09,19.0,True,20,23,,,,,,,,,,,
164,,23,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,0.0008357688210444,19.0,True,20,0,,,,,,,,,,,
165,,31,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,1.4497791355580184e-10,19.0,True,20,10,,,,,,,,,,,
166,,27,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,3.480919704474803e-07,19.0,True,20,17,,,,,,,,,,,
167,,28,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,4.972742434964004e-08,19.0,True,20,35,,,,,,,,,,,
168,,21,False,discrete,25,0,0,6,12,,9,4.833333333333333,True,0,2.000019783275655,,True,20,19,,,,,,,,,,,
169,,20,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,0.2866687056182291,19.0,True,20,26,,,,,,,,,,,
170,,27,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,3.480919704474803e-07,19.0,True,20,9,,,,,,,,,,,
171,,28,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,4.972742434964004e-08,19.0,True,20,30,,,,,,,,,,,
172,,28,False,discrete,15,15,0,6,12,,9,4.833333333333333,True,0,4.972742434964004e-08,19.0,True,20,15,,,,,,,,,,,
173,,25,False,discrete,24,12,0,6,12,,9,4.833333333333333,True,0,1.705650655192653e-05,19.0,True,20,20,,,,,,,,,,,
174,,28,False,discrete,18,18,0,6,12,,9,4.833333333333333,True,0,4.9727424349640035e-08,19.0,True,20,36,,,,,,,,,,,
