,instance,max_time,postprocessing,version,num_reads,num_feasible,num_optimal,number_of_jobs,number_of_tasks,max_task_time,mean_task_time,heuristic,optimal,energy_best,result_best,chain_break_method,chain_strength,post_processing_overhead_time,qpu_access_overhead_time,qpu_access_time,qpu_anneal_time_per_sample,qpu_delay_time_per_sample,qpu_programming_time,qpu_readout_time_per_sample,qpu_sampling_time,total_post_processing_time,is_cut_out,window_size,window_start,is_squashed
51,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,549.0,1408.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,549.0,1.0,5.0,44.0,
52,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,725.0,2187.0,249631.0,20.0,21.0,10691.0,198.0,238940.0,725.0,1.0,5.0,21.0,
53,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,1996.0,1372.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,1996.0,1.0,5.0,14.0,
54,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,390.0,1624.0,249622.0,20.0,21.0,10682.0,198.0,238940.0,390.0,1.0,5.0,0.0,
55,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,1874.0,1210.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,1874.0,1.0,5.0,50.0,
56,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,409.0,2182.0,249630.0,20.0,21.0,10690.0,198.0,238940.0,409.0,1.0,5.0,54.0,
57,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,3907.0,1345.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,3907.0,1.0,5.0,19.0,
58,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,890.0,2440.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,890.0,1.0,5.0,12.0,
59,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,527.0,1274.0,249630.0,20.0,21.0,10690.0,198.0,238940.0,527.0,1.0,5.0,4.0,
60,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,1398.0,1026.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,1398.0,1.0,5.0,23.0,
61,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,162.0,1312.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,162.0,1.0,5.0,16.0,
62,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,490.0,2368.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,490.0,1.0,5.0,24.0,
63,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,704.0,1308.0,249631.0,20.0,21.0,10691.0,198.0,238940.0,704.0,1.0,5.0,33.0,
64,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,1230.0,1464.0,249631.0,20.0,21.0,10691.0,198.0,238940.0,1230.0,1.0,5.0,45.0,
65,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,518.0,2179.0,249631.0,20.0,21.0,10691.0,198.0,238940.0,518.0,1.0,5.0,38.0,
66,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,1329.0,1073.0,249626.0,20.0,21.0,10686.0,198.0,238940.0,1329.0,1.0,5.0,30.0,
67,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,181.0,1435.0,249626.0,20.0,21.0,10686.0,198.0,238940.0,181.0,1.0,5.0,34.0,
68,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,323.0,1333.0,249620.0,20.0,21.0,10680.0,198.0,238940.0,323.0,1.0,5.0,8.0,
69,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,486.0,1176.0,249624.0,20.0,21.0,10684.0,198.0,238940.0,486.0,1.0,5.0,28.0,
70,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,577.0,5034.0,249621.0,20.0,21.0,10681.0,198.0,238940.0,577.0,1.0,5.0,7.0,
71,,4,False,pyqubo,1000,0,0,1,2,3,2.0,True,0,1.0,,majority_vote,1.0,693.0,1268.0,249626.0,20.0,21.0,10686.0,198.0,238940.0,693.0,1.0,5.0,32.0,
72,,7,False,pyqubo,1000,150,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,756.0,3668.0,249832.0,20.0,21.0,10891.0,198.0,238940.0,756.0,1.0,5.0,3.0,
73,,7,False,pyqubo,1000,162,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,2358.0,1992.0,249777.0,20.0,21.0,10837.0,198.0,238940.0,2358.0,1.0,5.0,18.0,
74,,7,False,pyqubo,1000,145,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,791.0,4518.0,253958.0,20.0,21.0,10858.0,203.0,243100.0,791.0,1.0,5.0,15.0,
75,,7,False,pyqubo,1000,141,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,781.0,4257.0,253382.0,20.0,21.0,10862.0,202.0,242520.0,781.0,1.0,5.0,9.0,
76,,5,False,pyqubo,1000,0,0,4,7,3,1.8571428571428568,True,0,2.4160000000000004,,majority_vote,1.1783333333333332,705.0,1941.0,254876.0,20.0,21.0,10776.0,204.0,244100.0,705.0,1.0,5.0,16.0,
77,,7,False,pyqubo,1000,165,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,4223.0,3460.0,249798.0,20.0,21.0,10858.0,198.0,238940.0,4223.0,1.0,5.0,0.0,
78,,7,False,pyqubo,1000,144,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,718.0,4658.0,249806.0,20.0,21.0,10866.0,198.0,238940.0,718.0,1.0,5.0,2.0,
79,,7,False,pyqubo,1000,144,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,838.0,5248.0,253706.0,20.0,21.0,10886.0,202.0,242820.0,838.0,1.0,5.0,5.0,
80,,5,False,pyqubo,1000,0,0,4,7,3,1.8571428571428568,True,0,2.4160000000000004,,majority_vote,1.1783333333333332,496.0,3054.0,254841.0,20.0,21.0,10781.0,204.0,244060.0,496.0,1.0,5.0,12.0,
81,,7,False,pyqubo,1000,140,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,694.0,3326.0,254616.0,20.0,21.0,10836.0,203.0,243780.0,694.0,1.0,5.0,4.0,
82,,7,False,pyqubo,1000,130,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,815.0,4515.0,249791.0,20.0,21.0,10851.0,198.0,238940.0,815.0,1.0,5.0,6.0,
83,,6,False,pyqubo,1000,13,0,4,7,3,1.8571428571428568,True,0,0.8832000000000004,5.0,majority_vote,1.3690996128843218,499.0,2712.0,253960.0,20.0,21.0,10860.0,203.0,243100.0,499.0,1.0,5.0,11.0,
84,,7,False,pyqubo,1000,161,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,473.0,4496.0,249810.0,20.0,21.0,10870.0,198.0,238940.0,473.0,1.0,5.0,8.0,
85,,7,False,pyqubo,1000,141,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,810.0,3642.0,253666.0,20.0,21.0,10846.0,202.0,242820.0,810.0,1.0,5.0,14.0,
86,,5,False,pyqubo,1000,0,0,4,7,3,1.8571428571428568,True,0,2.4160000000000004,,majority_vote,1.1783333333333332,1131.0,2586.0,249722.0,20.0,21.0,10781.0,198.0,238940.0,1131.0,1.0,5.0,1.0,
87,,7,False,pyqubo,1000,142,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,758.0,4192.0,255310.0,20.0,21.0,10870.0,204.0,244440.0,758.0,1.0,5.0,17.0,
88,,7,False,pyqubo,1000,147,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,683.0,2562.0,249798.0,20.0,21.0,10858.0,198.0,238940.0,683.0,1.0,5.0,7.0,
89,,7,False,pyqubo,1000,130,0,4,7,3,1.8571428571428568,True,0,0.1766399999999999,5.0,majority_vote,1.5169143078108858,749.0,3414.0,253936.0,20.0,21.0,10836.0,203.0,243100.0,749.0,1.0,5.0,13.0,
90,,5,False,pyqubo,1000,0,0,4,7,3,1.8571428571428568,True,0,2.4160000000000004,,majority_vote,1.1783333333333332,1500.0,4562.0,253848.0,20.0,21.0,10748.0,203.0,243100.0,1500.0,1.0,5.0,10.0,
91,,5,False,pyqubo,1000,0,0,6,7,3,2.0,True,0,2.333194502290712,,majority_vote,1.3312369845714582,731.0,2543.0,249720.0,20.0,21.0,10780.0,198.0,238940.0,731.0,1.0,5.0,7.0,
92,,7,False,pyqubo,1000,452,0,6,7,3,2.0,True,0,0.0885345391801042,5.0,majority_vote,1.6684966994606585,725.0,4691.0,249906.0,20.0,21.0,10966.0,198.0,238940.0,725.0,1.0,5.0,6.0,
93,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,547.0,2983.0,249666.0,20.0,21.0,10726.0,198.0,238940.0,547.0,1.0,5.0,13.0,
94,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,651.0,2582.0,249696.0,20.0,21.0,10755.0,198.0,238940.0,651.0,1.0,5.0,3.0,
95,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,583.0,2303.0,249698.0,20.0,21.0,10758.0,198.0,238940.0,583.0,1.0,5.0,8.0,
96,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,481.0,5363.0,249665.0,20.0,21.0,10725.0,198.0,238940.0,481.0,1.0,5.0,17.0,
97,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,482.0,4312.0,249708.0,20.0,21.0,10768.0,198.0,238940.0,482.0,1.0,5.0,0.0,
98,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,630.0,2178.0,254824.0,20.0,21.0,10723.0,204.0,244100.0,630.0,1.0,5.0,1.0,
99,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,1638.0,3802.0,249666.0,20.0,21.0,10726.0,198.0,238940.0,1638.0,1.0,5.0,10.0,
100,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,468.0,3970.0,249670.0,20.0,21.0,10730.0,198.0,238940.0,468.0,1.0,5.0,4.0,
101,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,471.0,2812.0,249675.0,20.0,21.0,10735.0,198.0,238940.0,471.0,1.0,5.0,2.0,
102,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,514.0,3545.0,249699.0,20.0,21.0,10759.0,198.0,238940.0,514.0,1.0,5.0,11.0,
103,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,623.0,2230.0,251858.0,20.0,21.0,10758.0,201.0,241100.0,623.0,1.0,5.0,5.0,
104,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,444.0,1894.0,249668.0,20.0,21.0,10728.0,198.0,238940.0,444.0,1.0,5.0,16.0,
