chain strength,not found,correct,num of reads,5,6,7,8,9
30,194,0,1000,5,9,57,332,403
30,209,0,1000,5,15,88,520,162
30,189,0,1000,5,22,83,392,309
30,239,0,1000,32,102,165,297,160
30,249,0,1000,7,24,49,300,370
30,229,0,1000,10,46,111,348,256
30,193,0,1000,7,40,127,300,332
30,267,0,1000,9,53,171,231,269
30,205,0,1000,9,18,151,371,240
30,253,0,1000,7,16,59,392,271
35,175,0,1000,5,14,86,342,378
35,169,1,1000,5,9,51,328,438
35,187,0,1000,14,39,86,251,423
35,189,0,1000,10,20,213,296,272
35,131,0,1000,1,7,39,261,560
35,151,0,1000,1,22,100,469,256
35,126,0,1000,5,25,67,314,455
35,141,0,1000,0,16,95,477,270
35,181,0,1000,8,56,101,305,348
35,132,0,1000,8,7,67,410,373
40,137,0,1000,2,31,104,481,244
40,136,0,1000,10,27,107,517,202
40,131,0,1000,2,31,102,342,390
40,108,0,1000,3,23,86,509,269
40,154,0,1000,3,25,111,334,373
40,158,0,1000,0,21,101,440,280
40,146,0,1000,6,20,95,365,368
40,167,0,1000,6,23,104,388,306
40,144,0,1000,4,12,107,546,184
45,127,0,1000,0,14,82,444,333
45,121,0,1000,3,11,53,380,432
45,183,0,1000,2,17,147,344,307
45,111,0,1000,0,9,88,455,337
45,124,0,1000,2,15,84,414,361
45,139,0,1000,4,30,73,447,306
45,132,0,1000,2,6,72,515,272
45,140,0,1000,6,12,46,392,404
45,121,1,1000,10,32,129,408,300
45,138,0,1000,3,31,106,507,215
50,171,0,1000,13,50,170,383,210
50,128,0,1000,3,29,147,352,341
50,161,0,1000,0,24,121,314,379
50,137,0,1000,3,15,63,556,226
50,90,0,1000,1,21,146,404,338
50,164,0,1000,6,12,68,366,383
50,161,0,1000,2,14,80,410,331
50,114,0,1000,4,13,101,547,220
50,146,0,1000,4,34,124,470,220
50,116,0,1000,2,8,44,176,654
60,98,0,1000,2,44,159,374,323
60,130,0,1000,8,14,56,489,301
60,127,0,1000,2,20,163,326,361
60,140,0,1000,3,7,49,368,433
60,117,0,1000,4,12,96,362,408
60,142,0,1000,3,6,92,527,230
60,99,0,1000,1,13,53,333,501
60,106,0,1000,10,49,98,440,295
60,105,0,1000,7,44,99,429,314
60,139,0,1000,1,14,69,429,347
70,95,0,1000,0,10,76,476,343
70,83,0,1000,1,11,46,590,269
70,62,0,1000,0,3,66,333,535
70,83,0,1000,6,15,90,465,340
70,114,0,1000,1,7,109,556,212
70,90,0,1000,2,5,92,552,259
70,140,0,1000,2,11,81,537,228
70,141,0,1000,9,21,92,440,296
70,99,0,1000,5,27,76,368,422
70,99,0,1000,7,14,68,292,520
80,92,0,1000,3,18,85,425,377
80,88,0,1000,0,5,69,438,400
80,98,0,1000,2,12,108,359,420
80,64,0,1000,4,8,92,270,562
80,138,0,1000,2,40,70,401,349
80,105,0,1000,5,27,83,411,369
80,114,0,1000,1,9,73,451,352
80,97,0,1000,0,3,115,496,289
80,104,0,1000,3,10,108,461,314
80,114,0,1000,3,12,77,419,372
90,94,0,1000,1,21,165,298,421
90,86,0,1000,1,25,100,385,403
90,94,0,1000,0,10,81,356,458
90,84,0,1000,3,8,66,468,371
90,77,0,1000,5,17,70,369,461
90,74,0,1000,2,12,35,466,410
90,101,0,1000,9,26,80,522,261
90,90,0,1000,1,6,72,444,386
90,68,0,1000,2,12,112,400,406
90,81,0,1000,7,51,138,344,378
100,65,0,1000,1,15,82,408,428
100,88,0,1000,1,15,75,460,361
100,90,0,1000,0,1,58,480,371
100,84,0,1000,1,9,95,373,438
100,85,0,1000,0,8,66,580,261
100,82,0,1000,8,10,99,481,319
100,80,0,1000,0,1,47,383,489
100,76,0,1000,2,14,136,388,384
100,78,0,1000,1,7,75,483,356
100,105,0,1000,1,16,59,439,380
150,66,0,1000,2,9,81,487,355
150,81,0,1000,4,14,70,396,434
150,80,0,1000,2,6,64,580,268
150,55,0,1000,0,6,54,502,381
150,59,0,1000,1,3,48,538,351
150,83,0,1000,0,7,62,553,294
150,87,0,1000,7,34,121,509,242
150,63,0,1000,1,18,118,477,323
150,92,0,1000,3,11,55,568,271
150,71,0,1000,1,7,87,497,337
200,73,0,1000,3,18,86,452,368
200,52,0,1000,0,1,44,525,378
200,57,0,1000,0,12,57,448,426
200,57,0,1000,0,16,69,341,517
200,95,0,1000,2,7,32,471,393
200,83,0,1000,6,36,47,411,416
200,78,1,1000,1,3,71,470,377
200,63,0,1000,0,7,106,306,517
200,75,0,1000,2,12,91,475,345
200,72,0,1000,2,3,47,274,602
250,69,0,1000,4,3,65,411,448
250,47,0,1000,0,5,59,348,541
250,57,0,1000,2,8,59,462,412
250,37,0,1000,0,6,67,473,417
250,87,0,1000,1,7,52,497,356
250,72,0,1000,2,18,126,450,332
250,101,0,1000,1,10,102,512,274
250,56,0,1000,1,3,53,493,394
250,62,0,1000,0,11,49,345,533
250,51,0,1000,0,5,61,479,404
300,83,0,1000,0,11,26,427,453
300,74,0,1000,0,6,57,259,603
300,60,0,1000,0,5,79,384,472
300,57,0,1000,1,16,95,465,366
300,50,0,1000,0,7,58,422,463
300,64,0,1000,0,1,42,349,544
300,78,0,1000,2,14,80,293,533
300,28,0,1000,0,3,38,442,489
300,59,0,1000,1,12,76,297,555
300,74,0,1000,2,9,68,585,262
350,59,0,1000,1,10,38,435,457
350,85,0,1000,0,1,73,350,491
350,56,0,1000,6,21,109,517,291
350,76,0,1000,1,16,73,311,523
350,64,0,1000,0,11,97,370,458
350,45,0,1000,2,7,115,530,301
350,43,0,1000,0,8,22,497,430
350,84,0,1000,1,7,50,497,360
350,66,0,1000,0,7,45,633,249
350,46,0,1000,2,9,120,456,367
400,67,0,1000,3,16,110,498,305
400,45,0,1000,0,6,83,570,296
400,58,0,1000,1,3,41,540,357
400,60,0,1000,0,9,36,457,438
400,60,0,1000,1,17,28,498,396
400,52,0,1000,3,24,89,373,459
400,68,0,1000,1,4,41,369,516
400,56,0,1000,2,9,41,420,472
400,64,0,1000,2,2,32,610,290
400,72,0,1000,0,3,76,443,406
450,77,0,1000,0,5,52,328,538
450,58,0,1000,0,2,20,457,462
450,76,0,1000,0,5,60,529,330
450,39,0,1000,2,7,89,472,391
450,92,0,1000,3,25,98,413,369
450,63,0,1000,0,5,51,236,645
450,59,0,1000,0,8,72,407,454
450,58,0,1000,0,2,41,526,373
450,52,0,1000,1,7,42,601,297
450,47,0,1000,0,16,76,560,300
500,49,0,1000,2,13,82,436,418
500,91,0,1000,0,4,116,486,303
500,55,0,1000,0,8,48,419,470
500,39,0,1000,0,2,39,506,414
500,84,0,1000,0,11,64,499,342
500,31,0,1000,0,2,57,462,448
500,47,0,1000,0,9,57,421,466
500,100,0,1000,4,21,84,407,383
500,48,0,1000,0,3,12,419,518
500,53,0,1000,0,5,105,539,298
550,31,0,1000,1,7,78,613,270
550,60,0,1000,2,10,71,266,591
550,63,0,1000,0,1,40,431,464
550,68,0,1000,4,20,82,460,366
550,55,0,1000,0,12,26,343,564
550,56,0,1000,3,14,48,412,467
550,60,0,1000,0,3,59,503,375
550,43,0,1000,1,4,60,374,518
550,78,0,1000,4,8,69,409,432
550,55,0,1000,1,12,75,544,313
600,35,0,1000,0,7,73,385,500
600,48,0,1000,9,23,153,386,381
600,66,0,1000,2,13,47,433,439
600,35,0,1000,0,6,74,467,418
600,65,0,1000,0,6,64,339,526
600,70,0,1000,2,6,59,372,491
600,57,0,1000,1,4,34,381,523
600,44,0,1000,0,5,42,349,559
600,43,0,1000,0,3,48,404,502
600,47,0,1000,0,0,60,487,405
650,59,0,1000,4,13,73,416,435
650,45,0,1000,1,19,116,382,437
650,43,0,1000,0,7,58,357,535
650,37,0,1000,0,4,7,447,505
650,25,0,1000,2,7,127,524,314
650,67,0,1000,1,7,68,365,492
650,65,0,1000,2,19,125,444,345
650,57,0,1000,1,22,78,395,446
650,53,0,1000,0,8,95,298,546
650,50,0,1000,0,3,19,473,455
700,34,0,1000,2,9,38,529,388
700,72,0,1000,0,5,42,541,340
700,56,0,1000,2,5,50,405,482
700,47,0,1000,0,3,29,403,518
700,51,0,1000,0,0,29,473,446
700,41,0,1000,0,5,59,427,468
700,47,0,1000,0,3,31,387,532
700,35,0,1000,0,10,56,381,518
700,42,0,1000,1,2,21,406,528
700,61,0,1000,0,2,51,338,548
750,43,0,1000,0,4,60,455,438
750,24,0,1000,3,18,58,523,374
750,75,0,1000,0,9,29,546,341
750,52,0,1000,1,5,96,477,369
750,34,0,1000,2,15,107,381,461
750,88,0,1000,0,0,24,392,496
750,43,0,1000,0,4,6,323,624
750,48,0,1000,0,5,33,407,507
750,62,0,1000,0,6,80,289,562
750,31,0,1000,1,5,55,357,551
800,57,0,1000,0,0,8,443,492
800,54,0,1000,0,5,71,498,372
800,34,0,1000,0,5,73,435,453
800,34,0,1000,1,3,48,462,452
800,33,0,1000,2,10,85,504,366
800,55,0,1000,2,13,56,558,314
800,54,0,1000,1,5,79,370,491
800,34,0,1000,2,5,36,458,465
800,49,0,1000,0,8,93,508,342
800,38,0,1000,1,6,71,537,347
850,38,0,1000,3,5,12,397,545
850,47,0,1000,0,0,12,115,826
850,57,0,1000,1,7,50,440,445
850,40,0,1000,1,22,119,489,328
850,27,0,1000,2,5,60,547,359
850,54,0,1000,3,14,89,422,418
850,78,0,1000,0,8,65,575,274
